,GASOLINA,N,min,max,R,num classes,C,k,CLASSES,Freq,pi,Pi,Xi,Xi*pi,di^2*pi,Media simples,Media ponderada,var,desvpad,erro relativo agrupamento,cv,moda,assimetria
0,6.32,27.0,5.3,6.32,1.0200000000000005,6.0,0.18,1.0, 5.30 |-  5.48,2.0,0.07407407407407407,0.07407407407407407,5.39,0.3992592592592592,0.009247736625514365,5.743703703703703,5.743333333333332,0.05155555555555544,0.22705848487901842,0.006448284756266153,0.03953426898648029,5.57,0.7633862853691096
1,5.3,,,,,,,2.0, 5.48 |-  5.66,9.0,0.3333333333333333,0.4074074074074074,5.57,1.8566666666666667,0.01001481481481466,,,,,,,,
2,6.29,,,,,,,3.0, 5.66 |-  5.84,9.0,0.3333333333333333,0.7407407407407407,5.75,1.9166666666666665,1.4814814814819445e-05,,,,,,,,
3,5.48,,,,,,,4.0, 5.84 |-  6.02,4.0,0.14814814814814814,0.8888888888888888,5.93,0.8785185185185185,0.005162139917695515,,,,,,,,
4,5.62,,,,,,,5.0, 6.02 |-  6.20,1.0,0.037037037037037035,0.9259259259259258,6.109999999999999,0.22629629629629627,0.004979423868312769,,,,,,,,
5,6.18,,,,,,,6.0, 6.20 |-  6.38,2.0,0.07407407407407407,0.9999999999999999,6.289999999999999,0.46592592592592585,0.022136625514403305,,,,,,,,
6,5.95,,,,,,,,,,,,,,,,,,,,,,
7,5.95,,,,,,,,,,,,,,,,,,,,,,
8,5.72,,,,,,,,,,,,,,,,,,,,,,
9,5.64,,,,,,,,,,,,,,,,,,,,,,
10,5.63,,,,,,,,,,,,,,,,,,,,,,
11,5.38,,,,,,,,,,,,,,,,,,,,,,
12,5.72,,,,,,,,,,,,,,,,,,,,,,
13,5.49,,,,,,,,,,,,,,,,,,,,,,
14,5.62,,,,,,,,,,,,,,,,,,,,,,
15,5.51,,,,,,,,,,,,,,,,,,,,,,
16,5.72,,,,,,,,,,,,,,,,,,,,,,
17,5.82,,,,,,,,,,,,,,,,,,,,,,
18,5.92,,,,,,,,,,,,,,,,,,,,,,
19,5.59,,,,,,,,,,,,,,,,,,,,,,
20,5.68,,,,,,,,,,,,,,,,,,,,,,
21,5.58,,,,,,,,,,,,,,,,,,,,,,
22,5.78,,,,,,,,,,,,,,,,,,,,,,
23,5.8,,,,,,,,,,,,,,,,,,,,,,
24,5.72,,,,,,,,,,,,,,,,,,,,,,
25,5.89,,,,,,,,,,,,,,,,,,,,,,
26,5.78,,,,,,,,,,,,,,,,,,,,,,
