,DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA,PRECO MINIMO REVENDA - DESVIO DA MEDIA,PRECO MEDIO REVENDA - DESVIO DA MEDIA,PRECO MAXIMO REVENDA - DESVIO DA MEDIA,PRECO MINIMO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MEDIO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MAXIMO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MINIMO REVENDA - DESVIO DA MEDIANA,PRECO MEDIO REVENDA - DESVIO DA MEDIANA,PRECO MAXIMO REVENDA - DESVIO DA MEDIANA
32,45354,45360,NORDESTE,CEARA,GASOLINA ADITIVADA,144,R$/l,6.13,0.171,5.59,6.49,0.028,0.07899999999999885,0.125,-0.4894999999999996,0.006240999999999818,0.015625,0.2396102499999996,0.04202500000000003,0.028899999999999974,0.11902499999999983
36,45354,45360,NORDESTE,MARANHAO,GASOLINA ADITIVADA,82,R$/l,5.48,0.308,5.16,6.62,0.056,-0.35100000000000087,-0.5249999999999995,-0.3594999999999997,0.1232010000000006,0.27562499999999945,0.12924024999999978,0.05062499999999984,0.23039999999999955,0.04622499999999994
43,45354,45360,NORDESTE,PERNAMBUCO,GASOLINA ADITIVADA,120,R$/l,5.82,0.316,5.35,6.68,0.054,-0.16100000000000136,-0.1849999999999996,-0.2995000000000001,0.02592100000000044,0.03422499999999985,0.08970025000000006,0.00122500000000001,0.01959999999999991,0.024025000000000078
28,45354,45360,NORDESTE,ALAGOAS,GASOLINA ADITIVADA,43,R$/l,5.83,0.358,5.59,7.07,0.061,0.07899999999999885,-0.17499999999999982,0.09050000000000047,0.006240999999999818,0.030624999999999937,0.008190250000000085,0.04202500000000003,0.01689999999999997,0.05522500000000015
53,45354,45360,NORTE,TOCANTINS,GASOLINA ADITIVADA,32,R$/l,6.0,0.189,5.6,6.59,0.031,0.08899999999999864,-0.004999999999999893,-0.38949999999999996,0.007920999999999756,2.4999999999998934e-05,0.15171024999999996,0.04622499999999994,0.001600000000000003,0.06002500000000005
30,45354,45360,NORTE,AMAZONAS,GASOLINA ADITIVADA,42,R$/l,6.06,0.496,5.78,7.38,0.082,0.26899999999999924,0.054999999999999716,0.4005000000000001,0.07236099999999959,0.0030249999999999687,0.16040025000000005,0.15602500000000036,0.009999999999999929,0.29702499999999993
38,45354,45360,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA ADITIVADA,51,R$/l,5.81,0.429,5.39,6.94,0.074,-0.12100000000000133,-0.19500000000000028,-0.039499999999999424,0.014641000000000322,0.038025000000000114,0.0015602499999999545,2.4999999999998934e-05,0.022500000000000107,0.01102500000000009
51,45354,45360,SUDESTE,SAO PAULO,GASOLINA ADITIVADA,1011,R$/l,5.9,0.465,4.79,7.99,0.079,-0.721000000000001,-0.10499999999999954,1.0105000000000004,0.5198410000000014,0.011024999999999903,1.0211102500000009,0.3540249999999997,0.003599999999999953,1.3340250000000007
31,45354,45360,NORDESTE,BAHIA,GASOLINA ADITIVADA,190,R$/l,6.12,0.285,5.29,6.79,0.047,-0.22100000000000097,0.11500000000000021,-0.18949999999999978,0.04884100000000043,0.01322500000000005,0.035910249999999914,0.009024999999999953,0.025600000000000046,0.002024999999999994
42,45354,45360,SUL,PARANA,GASOLINA ADITIVADA,223,R$/l,6.14,0.336,5.27,6.79,0.055,-0.24100000000000144,0.1349999999999998,-0.18949999999999978,0.058081000000000695,0.018224999999999943,0.035910249999999914,0.01322500000000005,0.0323999999999999,0.002024999999999994
144,45354,45360,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL,24,R$/l,5.79,0.517,5.35,6.89,0.089,-0.16100000000000136,-0.21499999999999986,-0.08950000000000014,0.02592100000000044,0.04622499999999994,0.008010250000000024,0.00122500000000001,0.028899999999999974,0.0030249999999999687
148,45354,45360,SUL,SANTA CATARINA,OLEO DIESEL,82,R$/l,5.93,0.226,5.49,6.39,0.038,-0.021000000000000796,-0.07500000000000018,-0.5895000000000001,0.00044100000000003343,0.005625000000000027,0.34751025000000013,0.01102500000000009,0.0009000000000000149,0.19802500000000026
146,45354,45360,NORTE,RONDONIA,OLEO DIESEL,44,R$/l,6.47,0.413,5.99,7.82,0.064,0.4789999999999992,0.46499999999999986,0.8405000000000005,0.22944099999999923,0.21622499999999986,0.7064402500000008,0.3660250000000005,0.2600999999999998,0.9702250000000007
149,45354,45360,SUDESTE,SAO PAULO,OLEO DIESEL,480,R$/l,5.88,0.358,5.19,7.62,0.061,-0.3210000000000006,-0.125,0.6405000000000003,0.1030410000000004,0.015625,0.41024025000000036,0.03802499999999977,0.006400000000000012,0.6162250000000002
127,45354,45360,NORTE,AMAPA,OLEO DIESEL,9,R$/l,6.61,0.338,6.21,7.32,0.051,0.698999999999999,0.6050000000000004,0.34050000000000047,0.48860099999999856,0.3660250000000005,0.11594025000000031,0.6806250000000003,0.4225000000000005,0.23522500000000032
141,45354,45360,NORDESTE,PERNAMBUCO,OLEO DIESEL,12,R$/l,5.99,0.26,5.38,6.25,0.043,-0.13100000000000112,-0.01499999999999968,-0.7294999999999998,0.01716100000000029,0.0002249999999999904,0.5321702499999997,2.4999999999998934e-05,0.0009000000000000149,0.34222499999999995
