,DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA,PRECO MINIMO REVENDA - DESVIO DA MEDIA,PRECO MEDIO REVENDA - DESVIO DA MEDIA,PRECO MAXIMO REVENDA - DESVIO DA MEDIA,PRECO MINIMO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MEDIO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MAXIMO REVENDA - DESVIO DA MEDIA AO QUADRADO,PRECO MINIMO REVENDA - DESVIO DA MEDIANA,PRECO MEDIO REVENDA - DESVIO DA MEDIANA,PRECO MAXIMO REVENDA - DESVIO DA MEDIANA
144,45354,45360,NORDESTE,RIO GRANDE DO NORTE,OLEO DIESEL,24,R$/l,5.79,0.517,5.35,6.89,0.089,-0.16100000000000136,-0.21499999999999986,-0.08950000000000014,0.02592100000000044,0.04622499999999994,0.008010250000000024,0.00122500000000001,0.028899999999999974,0.0030249999999999687
148,45354,45360,SUL,SANTA CATARINA,OLEO DIESEL,82,R$/l,5.93,0.226,5.49,6.39,0.038,-0.021000000000000796,-0.07500000000000018,-0.5895000000000001,0.00044100000000003343,0.005625000000000027,0.34751025000000013,0.01102500000000009,0.0009000000000000149,0.19802500000000026
146,45354,45360,NORTE,RONDONIA,OLEO DIESEL,44,R$/l,6.47,0.413,5.99,7.82,0.064,0.4789999999999992,0.46499999999999986,0.8405000000000005,0.22944099999999923,0.21622499999999986,0.7064402500000008,0.3660250000000005,0.2600999999999998,0.9702250000000007
149,45354,45360,SUDESTE,SAO PAULO,OLEO DIESEL,480,R$/l,5.88,0.358,5.19,7.62,0.061,-0.3210000000000006,-0.125,0.6405000000000003,0.1030410000000004,0.015625,0.41024025000000036,0.03802499999999977,0.006400000000000012,0.6162250000000002
127,45354,45360,NORTE,AMAPA,OLEO DIESEL,9,R$/l,6.61,0.338,6.21,7.32,0.051,0.698999999999999,0.6050000000000004,0.34050000000000047,0.48860099999999856,0.3660250000000005,0.11594025000000031,0.6806250000000003,0.4225000000000005,0.23522500000000032
141,45354,45360,NORDESTE,PERNAMBUCO,OLEO DIESEL,12,R$/l,5.99,0.26,5.38,6.25,0.043,-0.13100000000000112,-0.01499999999999968,-0.7294999999999998,0.01716100000000029,0.0002249999999999904,0.5321702499999997,2.4999999999998934e-05,0.0009000000000000149,0.34222499999999995
145,45354,45360,SUL,RIO GRANDE DO SUL,OLEO DIESEL,217,R$/l,5.9,0.291,5.34,6.79,0.049,-0.17100000000000115,-0.10499999999999954,-0.18949999999999978,0.029241000000000395,0.011024999999999903,0.035910249999999914,0.002024999999999994,0.003599999999999953,0.002024999999999994
126,45354,45360,NORDESTE,ALAGOAS,OLEO DIESEL,15,R$/l,6.17,0.395,5.89,6.88,0.064,0.37899999999999867,0.16500000000000004,-0.09949999999999992,0.143640999999999,0.027225000000000013,0.009900249999999984,0.2550249999999999,0.044099999999999986,0.002024999999999994
128,45354,45360,NORTE,AMAZONAS,OLEO DIESEL,26,R$/l,6.32,0.59,6.28,7.8,0.093,0.7689999999999992,0.3150000000000004,0.8205,0.5913609999999988,0.09922500000000024,0.67322025,0.8010250000000009,0.12960000000000024,0.9312249999999997
137,45354,45360,SUDESTE,MINAS GERAIS,OLEO DIESEL,286,R$/l,5.75,0.23,5.29,6.49,0.04,-0.22100000000000097,-0.2549999999999999,-0.4894999999999996,0.04884100000000043,0.06502499999999994,0.2396102499999996,0.009024999999999953,0.044099999999999986,0.11902499999999983
